i,x,y
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,0,1
23,1,1
24,2,1
25,3,1
26,4,1
27,5,1
28,6,1
29,7,1
30,8,1
31,9,1
32,10,1
33,11,1
34,12,1
35,13,1
36,14,1
37,15,1
38,16,1
39,17,1
40,18,1
41,19,1
42,20,1
43,21,1
44,0,2
45,1,2
46,2,2
47,3,2
48,4,2
49,5,2
50,6,2
51,7,2
52,8,2
53,9,2
54,10,2
55,11,2
56,12,2
57,13,2
58,14,2
59,15,2
60,16,2
61,17,2
62,18,2
63,19,2
64,20,2
65,21,2
66,0,3
67,1,3
68,2,3
69,3,3
70,4,3
71,5,3
72,6,3
73,7,3
74,8,3
75,9,3
76,10,3
77,11,3
78,12,3
79,13,3
80,14,3
81,15,3
82,16,3
83,17,3
84,18,3
85,19,3
86,20,3
87,21,3
88,0,4
89,1,4
90,2,4
91,3,4
92,4,4
93,5,4
94,6,4
95,7,4
96,8,4
97,9,4
98,10,4
99,11,4
100,12,4
101,13,4
102,14,4
103,15,4
104,16,4
105,17,4
106,18,4
107,19,4
108,20,4
109,21,4
110,0,5
111,1,5
112,2,5
113,3,5
114,4,5
115,5,5
116,6,5
117,7,5
118,8,5
119,9,5
120,10,5
121,11,5
122,12,5
123,13,5
124,14,5
125,15,5
126,16,5
127,17,5
128,18,5
129,19,5
130,20,5
131,21,5
132,0,6
133,1,6
134,2,6
135,3,6
136,4,6
137,5,6
138,6,6
139,7,6
140,8,6
141,9,6
142,10,6
143,11,6
144,12,6
145,13,6
146,14,6
147,15,6
148,16,6
149,17,6
150,18,6
151,19,6
152,20,6
153,21,6
154,0,7
155,1,7
156,2,7
157,3,7
158,4,7
159,5,7
160,6,7
161,7,7
162,8,7
163,9,7
164,10,7
165,11,7
166,12,7
167,13,7
168,14,7
169,15,7
170,16,7
171,17,7
172,18,7
173,19,7
174,20,7
175,21,7
176,0,8
177,1,8
178,2,8
179,3,8
180,4,8
181,5,8
182,6,8
183,7,8
184,8,8
185,9,8
186,10,8
187,11,8
188,12,8
189,13,8
190,14,8
191,15,8
192,16,8
193,17,8
194,18,8
195,19,8
196,20,8
197,21,8
198,0,9
199,1,9
200,2,9
201,3,9
202,4,9
203,5,9
204,6,9
205,7,9
206,8,9
207,9,9
208,10,9
209,11,9
210,12,9
211,13,9
212,14,9
213,15,9
214,16,9
215,17,9
216,18,9
217,19,9
218,20,9
219,21,9
220,0,10
221,1,10
222,2,10
223,3,10
224,4,10
225,5,10
226,6,10
227,7,10
228,8,10
229,9,10
230,10,10
231,11,10
232,12,10
233,13,10
234,14,10
235,15,10
236,16,10
237,17,10
238,18,10
239,19,10
240,20,10
241,21,10
242,0,11
243,1,11
244,2,11
245,3,11
246,4,11
247,5,11
248,6,11
249,7,11
250,8,11
251,9,11
252,10,11
253,11,11
254,12,11
255,13,11
256,14,11
257,15,11
258,16,11
259,17,11
260,18,11
261,19,11
262,20,11
263,21,11
264,0,12
265,1,12
266,2,12
267,3,12
268,4,12
269,5,12
270,6,12
271,7,12
272,8,12
273,9,12
274,10,12
275,11,12
276,12,12
277,13,12
278,14,12
279,15,12
280,16,12
281,17,12
282,18,12
283,19,12
284,20,12
285,21,12
286,0,13
287,1,13
288,2,13
289,3,13
290,4,13
291,5,13
292,6,13
293,7,13
294,8,13
295,9,13
296,10,13
297,11,13
298,12,13
299,13,13
300,14,13
301,15,13
302,16,13
303,17,13
304,18,13
305,19,13
306,20,13
307,21,13
308,0,14
309,1,14
310,2,14
311,3,14
312,4,14
313,5,14
314,6,14
315,7,14
316,8,14
317,9,14
318,10,14
319,11,14
320,12,14
321,13,14
322,14,14
323,15,14
324,16,14
325,17,14
326,18,14
327,19,14
328,20,14
329,21,14
330,0,15
331,1,15
332,2,15
333,3,15
334,4,15
335,5,15
336,6,15
337,7,15
338,8,15
339,9,15
340,10,15
341,11,15
342,12,15
343,13,15
344,14,15
345,15,15
346,16,15
347,17,15
348,18,15
349,19,15
350,20,15
351,21,15
352,0,16
353,1,16
354,2,16
355,3,16
356,4,16
357,5,16
358,6,16
359,7,16
360,8,16
361,9,16
362,10,16
363,11,16
364,12,16
365,13,16
366,14,16
367,15,16
368,16,16
369,17,16
370,18,16
371,19,16
372,20,16
373,21,16
374,0,17
375,1,17
376,2,17
377,3,17
378,4,17
379,5,17
380,6,17
381,7,17
382,8,17
383,9,17
384,10,17
385,11,17
386,12,17
387,13,17
388,14,17
389,15,17
390,16,17
391,17,17
392,18,17
393,19,17
394,20,17
395,21,17
396,0,18
397,1,18
398,2,18
399,3,18
400,4,18
401,5,18
402,6,18
403,7,18
404,8,18
405,9,18
406,10,18
407,11,18
408,12,18
409,13,18
410,14,18
411,15,18
412,16,18
413,17,18
414,18,18
415,19,18
416,20,18
417,21,18
418,0,19
419,1,19
420,2,19
421,3,19
422,4,19
423,5,19
424,6,19
425,7,19
426,8,19
427,9,19
428,10,19
429,11,19
430,12,19
431,13,19
432,14,19
433,15,19
434,16,19
435,17,19
436,18,19
437,19,19
438,20,19
439,21,19
440,0,20
441,1,20
442,2,20
443,3,20
444,4,20
445,5,20
446,6,20
447,7,20
448,8,20
449,9,20
450,10,20
451,11,20
452,12,20
453,13,20
454,14,20
455,15,20
456,16,20
457,17,20
458,18,20
459,19,20
460,20,20
461,21,20
462,0,21
463,1,21
464,2,21
465,3,21
466,4,21
467,5,21
468,6,21
469,7,21
470,8,21
471,9,21
472,10,21
473,11,21
474,12,21
475,13,21
476,14,21
477,15,21
478,16,21
479,17,21
480,18,21
481,19,21
482,20,21
483,21,21
484,0,22
485,1,22
486,2,22
487,3,22
488,4,22
489,5,22
490,6,22
491,7,22
492,8,22
493,9,22
494,10,22
495,11,22
496,12,22
497,13,22
498,14,22
499,15,22
500,16,22
501,17,22
502,18,22
503,19,22
504,20,22
505,21,22
506,0,23
507,1,23
508,2,23
509,3,23
510,4,23
511,5,23
512,6,23
513,7,23
514,8,23
515,9,23
516,10,23
517,11,23
518,12,23
519,13,23
520,14,23
521,15,23
522,16,23
523,17,23
524,18,23
525,19,23
526,20,23
527,21,23
