config,train,rho,seed,mlu
ours,untrained,0.3,0,1.4766
ours,untrained,0.3,2,1.5987
ours,untrained,0.3,1,1.7493
ours,trained,0.3,1,1.7838
no-embed,untrained,0.3,0,1.5052
no-embed,untrained,0.3,1,1.7593
no-embed,untrained,0.3,2,1.5937
no-embed,trained,0.3,0,1.7179
ours,trained,0.3,0,1.6216
no-embed,trained,0.3,2,1.9380
no-gate,untrained,0.3,0,1.4853
no-gate,untrained,0.3,1,1.8854
no-gate,untrained,0.3,2,1.7975
ours,trained,0.3,2,1.6250
no-embed,trained,0.3,1,1.7701
no-gate,trained,0.3,1,1.6027
no-gate,trained,0.3,0,2.0244
no-gate,trained,0.3,2,1.7627
