config,repair_input,rho,seed,mlu
untrained,nbr,0.3,0,1.6441
untrained,nbr,0.3,1,1.7597
untrained,nbr,0.3,2,1.7395
ours,nbr,0.3,1,1.8986
untrained,nbr,0.05,0,1.7851
untrained,nbr,0.05,1,2.0028
untrained,nbr,0.05,2,1.8011
ours,nbr,0.05,1,1.9135
untrained,nbr,0.1,0,1.8365
ours,nbr,0.1,0,1.8163
untrained,nbr,0.1,1,1.7941
ours,nbr,0.3,2,1.8590
untrained,nbr,0.1,2,1.8543
ours,nbr,0.05,2,1.9663
untrained,nbr,0.5,0,1.7144
ours,nbr,0.1,1,1.8758
untrained,nbr,0.5,1,1.8773
ours,nbr,0.1,2,1.7528
untrained,nbr,0.5,2,1.8659
ours,nbr,0.5,0,1.6138
untrained,zero,0.3,0,2.1926
ours,nbr,0.5,1,1.6939
untrained,zero,0.3,1,2.2953
ours,nbr,0.5,2,2.0241
ours,zero,0.3,0,2.3337
untrained,zero,0.3,2,2.3976
untrained,zero,0.05,0,2.4082
ours,zero,0.3,1,2.3081
untrained,zero,0.05,1,2.3706
ours,zero,0.05,0,2.3749
untrained,zero,0.05,2,3.1195
ours,zero,0.05,1,1.9541
ours,zero,0.3,2,2.0958
ours,zero,0.05,2,2.0347
ours,nbr,0.05,0,1.9856
ours,nbr,0.3,0,1.9501
