config,rho,seed,repair,obj,mlu
mean-gated,0.5,0,1,mlu,1.6332
no-embed,0.5,0,0,mlu,2.6181
no-embed,0.3,0,0,mlu,2.3497
no-temporal,0.5,0,0,mlu,2.4535
mean-gated,0.1,0,1,mlu,1.7628
no-embed,0.1,0,0,mlu,2.5653
no-gate,0.5,0,0,mlu,2.4548
no-temporal,0.1,0,0,mlu,2.1398
no-gate,0.3,0,0,mlu,2.3703
no-temporal,0.3,0,0,mlu,1.9069
zero-fill,0.1,0,0,mlu,2.0196
ours,0.5,0,0,mlu,2.7239
ours,0.1,0,0,mlu,2.5607
zero-fill,0.5,0,0,mlu,2.2789
no-gate,0.1,0,0,mlu,1.9840
zero-fill,0.3,0,1,flow,0.9893
full,1.0,0,1,flow,0.9885
zero-fill,0.5,0,1,flow,0.9908
ours,0.5,0,1,flow,0.9864
full,1.0,0,0,mlu,2.5132
mean-gated,0.1,1,1,mlu,1.6241
zero-fill,0.1,0,1,flow,0.9879
no-gate,0.5,1,0,mlu,1.9955
no-temporal,0.3,1,0,mlu,2.0346
mean-gated,0.5,1,1,mlu,1.7994
ours,0.3,0,1,flow,0.9842
ours,0.1,0,1,flow,0.9811
ours,0.1,1,0,mlu,2.0309
no-embed,0.3,1,0,mlu,1.8243
no-temporal,0.5,1,0,mlu,2.2397
no-gate,0.1,1,0,mlu,2.0943
no-gate,0.3,1,0,mlu,2.0228
no-temporal,0.1,1,0,mlu,2.0479
no-embed,0.5,1,0,mlu,2.3158
ours,0.3,1,1,flow,0.9778
zero-fill,0.5,1,0,mlu,2.2786
no-embed,0.1,1,0,mlu,2.0309
ours,0.5,1,0,mlu,2.2244
full,1.0,1,0,mlu,2.5265
zero-fill,0.1,1,0,mlu,2.7729
no-embed,0.5,2,0,mlu,2.1611
full,1.0,1,1,flow,0.9828
no-embed,0.1,2,0,mlu,2.7390
zero-fill,0.5,1,1,flow,0.9878
ours,0.5,1,1,flow,0.9739
mean-gated,0.1,2,1,mlu,1.7877
ours,0.1,1,1,flow,0.9826
zero-fill,0.1,1,1,flow,0.9632
zero-fill,0.1,2,0,mlu,1.9507
zero-fill,0.3,1,1,flow,0.9876
no-temporal,0.3,2,0,mlu,2.4622
mean-gated,0.5,2,1,mlu,1.7700
zero-fill,0.3,2,1,flow,0.9627
no-temporal,0.5,2,0,mlu,2.3613
no-temporal,0.1,2,0,mlu,2.9049
no-embed,0.3,2,0,mlu,2.1830
ours,0.1,2,0,mlu,2.7385
no-gate,0.5,2,0,mlu,1.8081
no-gate,0.3,2,0,mlu,2.2298
ours,0.5,2,0,mlu,2.1535
full,1.0,2,1,flow,0.9940
no-gate,0.1,2,0,mlu,2.5906
zero-fill,0.5,2,0,mlu,2.3584
ours,0.5,2,1,flow,0.9880
ours,0.3,2,1,flow,0.9769
zero-fill,0.1,2,1,flow,0.9703
full,1.0,2,0,mlu,1.7126
zero-fill,0.5,2,1,flow,0.9577
ours,0.1,2,1,flow,0.9520
drop5,0.3,0,1,mlu,1.8590
drop10,0.3,0,1,mlu,1.6028
demand-split,0.3,0,1,mlu,1.6449
demand-split,0.3,1,1,mlu,2.1695
demand-split,0.3,2,1,mlu,1.5672
drop5,0.3,2,1,mlu,1.8184
drop10,0.3,2,1,mlu,1.7595
drop5,0.3,1,1,mlu,1.5385
drop10,0.3,1,1,mlu,1.5914
