method,rho,mean,std,median,min,max,n
ours,0.02,1.8744,0.2030,1.8031,1.6546,2.1021,5
ours,0.05,1.8848,0.0927,1.9225,1.7613,1.9856,5
ours,0.1,1.7863,0.0887,1.8163,1.6527,1.8882,5
ours,0.3,1.7365,0.0852,1.7217,1.6250,1.8298,5
ours,0.5,1.6391,0.0743,1.6241,1.5529,1.7581,5
test-style,0.02,1.8087,0.0998,1.7879,1.7112,1.9494,5
test-style,0.05,1.8330,0.1452,1.9284,1.6362,1.9480,5
test-style,0.1,1.7728,0.0832,1.7314,1.6955,1.9010,5
test-style,0.3,1.7694,0.0561,1.7852,1.6733,1.8185,5
test-style,0.5,1.6392,0.1267,1.5867,1.5279,1.8382,5
zero-fill,0.02,1.8047,0.0261,1.8163,1.7638,1.8273,5
zero-fill,0.05,1.8756,0.0613,1.8577,1.8127,1.9447,5
zero-fill,0.1,1.8557,0.0649,1.8528,1.7672,1.9243,5
zero-fill,0.3,1.7193,0.0378,1.7208,1.6695,1.7657,5
zero-fill,0.5,1.7047,0.1420,1.6723,1.5337,1.9122,5
mean-interp,0.02,1.8765,0.1519,1.8805,1.7108,2.0357,5
mean-interp,0.05,1.8399,0.0353,1.8417,1.7846,1.8754,5
mean-interp,0.1,1.9392,0.1027,1.8910,1.8684,2.1135,5
mean-interp,0.3,1.7319,0.0495,1.7054,1.6872,1.7920,5
mean-interp,0.5,1.6815,0.0910,1.6818,1.5576,1.8040,5
nbr-fill,0.02,1.7562,0.0788,1.7432,1.6859,1.8738,5
nbr-fill,0.05,1.8669,0.0381,1.8606,1.8208,1.9067,5
nbr-fill,0.1,1.8388,0.0778,1.8251,1.7556,1.9656,5
nbr-fill,0.3,1.7447,0.0538,1.7642,1.6829,1.8031,5
nbr-fill,0.5,1.6804,0.1139,1.7042,1.5143,1.8236,5
untrained,0.02,1.8900,0.0725,1.8928,1.8056,1.9893,5
untrained,0.05,1.9024,0.1212,1.8673,1.7851,2.0555,5
untrained,0.1,1.7814,0.0678,1.7941,1.7092,1.8543,5
untrained,0.3,1.7163,0.0440,1.7263,1.6441,1.7597,5
untrained,0.5,1.7572,0.1066,1.7144,1.6601,1.8773,5
