config,rho,seed,repair,mlu
untrained,0.3,0,norepair,3.0232
untrained,0.05,0,norepair,3.0483
untrained,0.05,0,repair,3.1129
untrained,0.3,0,repair,3.1020
untrained,0.05,1,norepair,4.0213
untrained,0.3,2,repair,2.9655
untrained,0.3,2,norepair,4.0967
untrained,0.05,1,repair,2.8939
untrained,0.05,2,repair,2.8227
untrained,0.05,2,norepair,4.3818
untrained,0.3,1,norepair,3.8344
untrained,0.3,1,repair,2.8203
ours,0.3,2,norepair,4.4325
ours,0.05,2,repair,2.8399
ours,0.05,2,norepair,3.1934
ours,0.3,0,repair,2.9086
ours,0.05,0,repair,2.8634
ours,0.3,1,repair,2.6596
ours,0.05,1,repair,2.9594
ours,0.3,2,repair,3.0076
ours,0.3,0,norepair,3.1186
ours,0.05,0,norepair,2.7989
ours,0.3,1,norepair,3.6920
ours,0.05,1,norepair,3.0412
