config,rho,seed,mlu
untrained,0.02,0,1.5586
untrained,0.05,0,1.6454
untrained,0.3,0,1.4766
untrained,0.02,1,1.6623
untrained,0.05,1,1.4969
untrained,0.3,1,1.7493
untrained,0.02,2,1.7615
untrained,0.05,2,1.7451
untrained,0.3,2,1.5987
nbr,0.05,0,1.5272
nbr,0.02,0,1.4270
nbr,0.05,1,1.7773
nbr,0.02,1,1.6141
nbr,0.05,2,1.7681
nbr,0.02,2,1.6640
untrained,0.5,1,1.8025
untrained,0.1,0,1.5638
untrained,0.5,0,1.5429
untrained,0.1,1,1.5638
untrained,0.5,2,1.7468
untrained,0.1,2,1.8076
untrained-drop5,0.3,0,1.5483
untrained-drop10,0.3,0,1.5537
untrained-drop5,0.3,1,1.8738
untrained-drop10,0.3,1,1.5759
untrained-drop5,0.3,2,1.5447
untrained-drop10,0.3,2,1.5640
untrained,0.05,3,1.6084
untrained,0.3,3,1.5682
untrained,0.1,4,1.5405
untrained,0.5,4,1.5342
untrained,0.1,3,1.6623
untrained,0.5,3,1.4973
untrained,0.3,4,1.5261
untrained,0.02,3,1.5995
untrained,0.05,4,1.6335
untrained,0.02,4,1.5520
