config,rho,seeds,n,mean,std,minimum,maximum
ours,0.02,"['0', '1', '2', '3', '4']",5,2.37784,0.3641562617888096,2.0084,2.8235
ours,0.05,"['0', '1', '2', '3', '4']",5,2.2723999999999998,0.24556053225223304,2.0396,2.6428
ours,0.1,"['0', '1', '2', '3', '4']",5,2.32172,0.21623005572769025,2.1028,2.6457
ours,0.3,"['0', '1', '2', '3', '4']",5,2.50164,0.3062473232536082,2.1692,2.983
ours,0.5,"['0', '1', '2', '3', '4']",5,2.3223,0.2569732865493998,1.989,2.63
test-style,0.02,"['0', '1', '2', '3', '4']",5,2.1224600000000002,0.14967930050611541,2.0071,2.3138
test-style,0.05,"['0', '1', '2', '3', '4']",5,2.16892,0.16673469045162745,1.9544,2.4205
test-style,0.1,"['0', '1', '2', '3', '4']",5,2.24496,0.3144923178712002,1.8315,2.6557
test-style,0.3,"['0', '1', '2', '3', '4']",5,2.3258,0.2452933651772913,2.0964,2.6317
test-style,0.5,"['0', '1', '2', '3', '4']",5,2.2506399999999998,0.2052425589394168,1.9663,2.4553
zero-fill,0.02,"['0', '1', '2', '3', '4']",5,2.19134,0.3578212025579256,1.9637,2.826
zero-fill,0.05,"['0', '1', '2', '3', '4']",5,2.22346,0.3332915585489678,1.9507,2.7854
zero-fill,0.1,"['0', '1', '2', '3', '4']",5,2.22276,0.3294192890527207,1.9507,2.7729
zero-fill,0.3,"['0', '1', '2', '3', '4']",5,2.20588,0.18712894484819823,1.9151,2.3477
zero-fill,0.5,"['0', '1', '2', '3', '4']",5,2.3097,0.21036369696314053,2.0225,2.6101
mean-interp,0.02,"['0', '1', '2', '3', '4']",5,2.1106800000000003,0.17990475813607604,1.8078,2.2581
mean-interp,0.05,"['0', '1', '2', '3', '4']",5,2.1386,0.1676682289522973,1.9231,2.3322
mean-interp,0.1,"['0', '1', '2', '3', '4']",5,2.11128,0.16245792378336005,1.918,2.2589
mean-interp,0.3,"['0', '1', '2', '3', '4']",5,2.19956,0.18725387312416272,1.9362,2.4622
mean-interp,0.5,"['0', '1', '2', '3', '4']",5,2.23822,0.14987397038845662,2.0754,2.4549
nbr-fill,0.02,"['0', '1', '2', '3', '4']",5,2.24012,0.34373615899407506,2.0174,2.826
nbr-fill,0.05,"['0', '1', '2', '3', '4']",5,2.2153,0.3922285621930153,1.9225,2.8915
nbr-fill,0.1,"['0', '1', '2', '3', '4']",5,2.2027,0.30713125044514766,1.9225,2.7069
nbr-fill,0.3,"['0', '1', '2', '3', '4']",5,2.28932,0.2707878080711907,2.0463,2.7201
nbr-fill,0.5,"['0', '1', '2', '3', '4']",5,2.28238,0.14313780772388537,2.1355,2.5035
untrained,0.02,"['0', '1', '2', '3', '4']",5,2.47192,0.3543932378023034,2.0084,2.8763
untrained,0.05,"['0', '1', '2', '3', '4']",5,2.53552,0.39085299922093475,2.147,3.0341
untrained,0.1,"['0', '1', '2', '3', '4']",5,2.50022,0.3658222341520537,2.1028,2.9381
untrained,0.3,"['0', '1', '2', '3', '4']",5,2.6558,0.3295329194481183,2.1538,3.0377
untrained,0.5,"['0', '1', '2', '3', '4']",5,2.5927000000000002,0.25835398197047393,2.2591,2.9499
