rho,method,baseline,paired_n,wins,losses,mean_delta_ours_minus_baseline,sign_test_two_sided
0.02,ours,test-style,5,1,4,0.25538,0.375
0.02,ours,zero-fill,5,2,3,0.18650000000000005,1.0
0.02,ours,mean-interp,5,2,3,0.26715999999999995,1.0
0.02,ours,nbr-fill,5,3,2,0.13772000000000012,1.0
0.02,ours,untrained,5,2,3,-0.09407999999999994,1.0
0.05,ours,test-style,5,0,5,0.10348000000000002,0.0625
0.05,ours,zero-fill,5,1,4,0.04893999999999985,0.375
0.05,ours,mean-interp,5,2,3,0.13379999999999997,1.0
0.05,ours,nbr-fill,5,1,4,0.05709999999999993,0.375
0.05,ours,untrained,5,3,2,-0.2631200000000001,1.0
0.1,ours,test-style,5,3,2,0.07675999999999994,1.0
0.1,ours,zero-fill,5,2,3,0.09895999999999998,1.0
0.1,ours,mean-interp,5,1,4,0.21044000000000002,0.375
0.1,ours,nbr-fill,5,2,3,0.11902000000000004,1.0
0.1,ours,untrained,5,3,2,-0.17849999999999994,1.0
0.3,ours,test-style,5,2,3,0.17584,1.0
0.3,ours,zero-fill,5,1,4,0.29575999999999997,0.375
0.3,ours,mean-interp,5,0,5,0.30208,0.0625
0.3,ours,nbr-fill,5,1,4,0.21232000000000006,0.375
0.3,ours,untrained,5,3,2,-0.15416000000000007,1.0
0.5,ours,test-style,5,1,4,0.07166000000000002,0.375
0.5,ours,zero-fill,5,2,3,0.0125999999999999,1.0
0.5,ours,mean-interp,5,2,3,0.08407999999999993,1.0
0.5,ours,nbr-fill,5,2,3,0.039919999999999914,1.0
0.5,ours,untrained,5,5,0,-0.2704000000000001,0.0625
