config,rho,seed,mlu
untrained,0.3,0,1.9108
untrained,0.3,1,1.9761
untrained,0.3,2,1.6980
ours,0.3,2,1.6607
zero-fill,0.3,2,1.6362
zero-fill,0.3,0,1.6613
zero-fill,0.3,1,1.8402
zero-fill,0.1,0,1.7429
ours,0.1,0,1.8504
untrained,0.1,0,1.8213
untrained,0.1,1,1.6775
untrained,0.1,2,1.7820
ours,0.3,1,1.8123
ours,0.3,0,1.9090
ours,0.1,1,1.7717
zero-fill,0.1,1,1.7110
zero-fill,0.1,2,1.8012
untrained,0.5,0,1.7829
untrained,0.5,1,1.7606
untrained,0.5,2,1.8662
ours,0.1,2,1.8382
zero-fill,0.5,0,1.7191
zero-fill,0.5,1,1.6384
zero-fill,0.5,2,1.6439
ours,0.5,1,1.5602
ours,0.5,0,1.7899
ours,0.5,2,1.7854
