config,rho,seed,mlu
untrained,0.05,1,2.3706
untrained,0.05,3,2.2606
untrained,0.05,4,2.1470
untrained,0.05,2,3.0341
untrained,0.05,0,2.8653
untrained,0.02,0,2.8763
untrained,0.02,1,2.3018
untrained,0.02,2,2.7720
untrained,0.02,3,2.4011
untrained,0.1,1,2.3237
untrained,0.02,4,2.0084
untrained,0.1,0,2.8377
untrained,0.1,2,2.9381
untrained,0.1,3,2.2988
untrained,0.1,4,2.1028
untrained,0.3,2,3.0377
untrained,0.3,1,2.6690
untrained,0.3,0,2.8330
untrained,0.3,3,2.5855
untrained,0.3,4,2.1538
untrained,0.5,0,2.6485
untrained,0.5,3,2.6575
untrained,0.5,1,2.9499
untrained,0.5,2,2.4485
untrained,0.5,4,2.2591
zero-fill,0.05,1,2.7854
test-style,0.05,1,2.1359
test-style,0.05,3,2.4205
test-style,0.05,4,2.1470
zero-fill,0.05,0,2.0174
zero-fill,0.05,2,1.9507
test-style,0.05,2,1.9544
mean-interp,0.05,1,2.2238
mean-interp,0.05,0,1.9231
zero-fill,0.05,3,2.2461
zero-fill,0.05,4,2.1177
mean-interp,0.05,2,2.0088
mean-interp,0.05,4,2.2051
nbr-fill,0.05,0,2.0210
mean-interp,0.05,3,2.3322
nbr-fill,0.05,1,2.8915
nbr-fill,0.05,4,2.0292
nbr-fill,0.05,2,1.9225
nbr-fill,0.05,3,2.2123
ours,0.02,1,2.8235
ours,0.02,0,2.4011
ours,0.02,2,2.0200
ours,0.02,4,2.0084
ours,0.02,3,2.6362
test-style,0.02,1,2.0125
test-style,0.02,3,2.3138
zero-fill,0.02,0,2.0174
zero-fill,0.02,1,2.8260
test-style,0.02,0,2.2557
test-style,0.02,2,2.0232
test-style,0.02,4,2.0071
zero-fill,0.02,2,2.0673
mean-interp,0.02,0,1.8078
mean-interp,0.02,2,2.1175
zero-fill,0.02,3,2.0823
zero-fill,0.02,4,1.9637
nbr-fill,0.02,0,2.0174
nbr-fill,0.02,1,2.8260
mean-interp,0.02,1,2.2345
mean-interp,0.02,3,2.2581
nbr-fill,0.02,2,2.0673
mean-interp,0.02,4,2.1355
ours,0.1,0,2.3886
ours,0.1,1,2.3220
nbr-fill,0.02,4,2.0189
nbr-fill,0.02,3,2.2710
ours,0.1,2,2.1495
ours,0.05,0,2.3967
ours,0.05,1,2.1359
ours,0.1,4,2.1028
test-style,0.05,0,2.1868
zero-fill,0.1,1,2.7729
test-style,0.1,3,2.6557
test-style,0.1,4,2.3048
zero-fill,0.1,0,2.0196
zero-fill,0.1,3,2.2669
zero-fill,0.1,4,2.1037
mean-interp,0.1,1,2.2238
zero-fill,0.1,2,1.9507
mean-interp,0.1,4,2.2034
mean-interp,0.1,0,1.9180
mean-interp,0.1,2,1.9523
nbr-fill,0.1,1,2.7069
mean-interp,0.1,3,2.2589
nbr-fill,0.1,0,2.0170
nbr-fill,0.1,2,1.9225
ours,0.3,1,2.5690
nbr-fill,0.1,3,2.2520
nbr-fill,0.1,4,2.1151
ours,0.3,0,2.4435
test-style,0.3,2,2.5438
test-style,0.3,3,2.6317
ours,0.3,2,2.3435
ours,0.3,3,2.9830
test-style,0.3,4,2.2209
ours,0.3,4,2.1692
test-style,0.3,0,2.1362
test-style,0.3,1,2.0964
zero-fill,0.3,2,2.1203
zero-fill,0.3,0,1.9151
zero-fill,0.3,1,2.3477
zero-fill,0.3,3,2.3062
zero-fill,0.3,4,2.3401
mean-interp,0.3,0,1.9362
mean-interp,0.3,2,2.2009
mean-interp,0.3,1,2.2302
mean-interp,0.3,3,2.4622
nbr-fill,0.3,1,2.7201
mean-interp,0.3,4,2.1683
nbr-fill,0.3,0,2.1094
nbr-fill,0.3,2,2.1952
nbr-fill,0.3,3,2.3756
nbr-fill,0.3,4,2.0463
ours,0.5,1,1.9890
ours,0.5,0,2.5180
ours,0.5,2,2.2902
ours,0.5,3,2.6300
ours,0.5,4,2.1843
test-style,0.5,0,2.4553
test-style,0.5,1,1.9663
zero-fill,0.5,0,2.2789
test-style,0.5,2,2.3670
zero-fill,0.5,1,2.2786
zero-fill,0.5,2,2.3584
test-style,0.5,4,2.1067
test-style,0.5,3,2.3579
zero-fill,0.5,3,2.6101
zero-fill,0.5,4,2.0225
mean-interp,0.5,0,2.0754
mean-interp,0.5,1,2.2322
mean-interp,0.5,2,2.3015
mean-interp,0.5,3,2.4549
mean-interp,0.5,4,2.1271
nbr-fill,0.5,0,2.1783
nbr-fill,0.5,4,2.1355
nbr-fill,0.5,1,2.2871
nbr-fill,0.5,2,2.3075
nbr-fill,0.5,3,2.5035
