config,rho,seed,mlu
ours,0.3,2,1.8127
ours,0.3,0,1.6935
ours,0.3,1,1.7217
test-style,0.3,0,1.6733
test-style,0.3,1,1.7852
zero-fill,0.3,0,1.7208
test-style,0.3,2,1.8185
zero-fill,0.3,1,1.7657
zero-fill,0.3,2,1.7435
mean-interp,0.3,0,1.7788
mean-interp,0.3,1,1.7920
mean-interp,0.3,2,1.6962
nbr-fill,0.3,0,1.8031
nbr-fill,0.3,1,1.7642
nbr-fill,0.3,2,1.6930
untrained,0.3,0,1.6441
untrained,0.3,1,1.7597
untrained,0.3,2,1.7395
untrained,0.05,0,1.7851
untrained,0.05,1,2.0028
untrained,0.05,2,1.8011
untrained,0.1,0,1.8365
untrained,0.1,1,1.7941
untrained,0.1,2,1.8543
untrained,0.5,0,1.7144
untrained,0.5,1,1.8773
untrained,0.5,2,1.8659
untrained,0.02,0,1.9893
untrained,0.02,1,1.9251
untrained,0.02,2,1.8056
ours,0.1,1,1.8882
ours,0.1,2,1.7528
ours,0.1,0,1.8163
test-style,0.1,0,1.7260
zero-fill,0.1,0,1.9120
test-style,0.1,1,1.7314
test-style,0.1,2,1.6955
zero-fill,0.1,1,1.7672
zero-fill,0.1,2,1.9243
mean-interp,0.1,0,1.8733
mean-interp,0.1,1,2.1135
mean-interp,0.1,2,1.9499
nbr-fill,0.1,0,1.8409
ours,0.05,0,1.9856
nbr-fill,0.1,1,1.8067
nbr-fill,0.1,2,1.7556
ours,0.05,1,1.7613
ours,0.05,2,1.8162
test-style,0.05,0,1.9338
test-style,0.05,1,1.6362
zero-fill,0.05,0,1.9447
test-style,0.05,2,1.7186
zero-fill,0.05,1,1.8272
zero-fill,0.05,2,1.8577
mean-interp,0.05,0,1.8417
mean-interp,0.05,1,1.7846
nbr-fill,0.05,0,1.9067
mean-interp,0.05,2,1.8649
nbr-fill,0.05,1,1.8418
ours,0.02,0,1.7364
ours,0.02,1,2.1021
nbr-fill,0.05,2,1.8606
test-style,0.02,0,1.7879
test-style,0.02,1,1.7273
zero-fill,0.02,0,1.7638
ours,0.02,2,1.6546
test-style,0.02,2,1.7112
zero-fill,0.02,1,1.7939
mean-interp,0.02,0,1.7108
zero-fill,0.02,2,1.8220
mean-interp,0.02,1,1.7373
mean-interp,0.02,2,2.0181
nbr-fill,0.02,0,1.8738
nbr-fill,0.02,1,1.7432
nbr-fill,0.02,2,1.6875
ours,0.5,0,1.6241
ours,0.5,1,1.5529
ours,0.5,2,1.6371
test-style,0.5,0,1.5279
test-style,0.5,1,1.8382
zero-fill,0.5,0,1.9122
test-style,0.5,2,1.6880
zero-fill,0.5,1,1.7632
zero-fill,0.5,2,1.6421
mean-interp,0.5,2,1.6448
mean-interp,0.5,0,1.8040
mean-interp,0.5,1,1.6818
nbr-fill,0.5,0,1.7042
nbr-fill,0.5,1,1.8236
nbr-fill,0.5,2,1.6398
test-style,0.02,4,1.9494
test-style,0.02,3,1.8679
ours,0.02,4,1.8031
ours,0.02,3,2.0759
mean-interp,0.02,3,2.0357
zero-fill,0.02,3,1.8273
mean-interp,0.02,4,1.8805
untrained,0.02,3,1.8370
untrained,0.02,4,1.8928
zero-fill,0.02,4,1.8163
nbr-fill,0.02,3,1.7907
nbr-fill,0.02,4,1.6859
ours,0.05,3,1.9382
ours,0.05,4,1.9225
test-style,0.05,3,1.9284
test-style,0.05,4,1.9480
zero-fill,0.05,3,1.9358
zero-fill,0.05,4,1.8127
mean-interp,0.05,3,1.8331
untrained,0.05,3,2.0555
untrained,0.05,4,1.8673
mean-interp,0.05,4,1.8754
nbr-fill,0.05,3,1.9047
nbr-fill,0.05,4,1.8208
test-style,0.1,4,1.8103
ours,0.1,3,1.8215
ours,0.1,4,1.6527
test-style,0.1,3,1.9010
zero-fill,0.1,4,1.8528
zero-fill,0.1,3,1.8224
mean-interp,0.1,3,1.8684
untrained,0.1,3,1.7130
untrained,0.1,4,1.7092
mean-interp,0.1,4,1.8910
nbr-fill,0.1,3,1.8251
nbr-fill,0.1,4,1.9656
ours,0.3,4,1.6250
ours,0.3,3,1.8298
test-style,0.3,3,1.7742
zero-fill,0.3,3,1.6695
test-style,0.3,4,1.7956
zero-fill,0.3,4,1.6969
mean-interp,0.3,3,1.7054
untrained,0.3,3,1.7263
untrained,0.3,4,1.7119
mean-interp,0.3,4,1.6872
nbr-fill,0.3,3,1.6829
nbr-fill,0.3,4,1.7804
ours,0.5,3,1.7581
ours,0.5,4,1.6232
test-style,0.5,3,1.5867
test-style,0.5,4,1.5550
zero-fill,0.5,3,1.5337
zero-fill,0.5,4,1.6723
mean-interp,0.5,3,1.5576
untrained,0.5,3,1.6601
untrained,0.5,4,1.6682
mean-interp,0.5,4,1.7192
nbr-fill,0.5,3,1.5143
nbr-fill,0.5,4,1.7200
